IntStdWv,Sample,Si29_CPS,Ca_ppm_m43,43CaO wt%,Ca_ppm_m44,44CaO wt%,Ti_ppm_m49,49TiO2,Ga_ppm_m69,Ga_ppm_m71,Rb_ppm_m85,Sr_ppm_m88,Y_ppm_m89,Zr_ppm_m90,Zr_ppm_m91,Nb_ppm_m93,Cs_ppm_m133,Ba_ppm_m137,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m146,Sm_ppm_m147,Eu_ppm_m153,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m163,Ho_ppm_m165,Er_ppm_m166,Tm_ppm_m169,Yb_ppm_m172,Lu_ppm_m175,Hf_ppm_m178,Ta_ppm_m181,Pb_ppm_m208,Th_ppm_m232,U_ppm_m238
,STDEV,241089,348,0.05,241,0.03,30,0.01,1.9,1.4,2,1.3,0.8,1.7,4.3,0.5,0.3,20.7,1.1,1.9,0.4,1.3,0.7,0.1,0.5,0.1,0.3,0.1,0.3,0.1,0.6,0.1,0.4,0.1,3.3,0.6,0.3
,Major element data averages ,,,0.46,,0.46,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.02,,0.02,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.6,NIST610 - 1,2620000,81100,11.35,81400,11.39,463,0.08,438.6,438.9,410.9,504,454,427,448,467.6,373.1,468,436,455,426,433.6,461,440,430,439,429,446,454,462,464,454,449,453,420.7,480,467.8
32.6,NIST610 - 2,2840000,80400,11.25,80800,11.31,504,0.08,428.7,433.4,408,512,456,429.5,446,467,368.2,461,436,450,430,426,450,436,430,435,426,434,443,455,455,445,444,444,415.2,472,472
32.6,NIST610 - 3,2740000,81500,11.4,80900,11.32,469,0.08,433.1,438.7,417.4,515,457,433,453,474,369.6,455,436,450,430,422,442,435,441,434,428,434,440,441,446,444,435,444,414,463,468
32.6,NIST610 - 4,2420000,81800,11.45,81900,11.46,485,0.08,436.9,424.2,413.4,511,458,437,440,458.2,372.9,448,438.3,448.3,443.8,425,441,442.1,418,427,425,429,434,388.4,443,427,409,437.4,420.1,439.5,438.6
32.6,NIST610 - 5,2460000,80900,11.32,81900,11.46,495,0.08,434.2,426.3,412.9,512,456.8,439,451,463,371.3,451,439,451,445,429,446.2,449,418,431,430,437,430,406,444,433,410,442,424,446,441.7
32.6,NIST610 - 6,1870000,82000,11.47,80400,11.25,491,0.08,420.2,446,398,492,449,419.9,439,466.9,362.6,434,425,436,439,404,428,436,439,440,415,440,415,449,452,433,432,429,414,444,456
32.6,NIST610 - 7,1850000,80200,11.22,79600,11.14,489,0.08,423.1,447,404.4,499,452,425,429,472.9,364.5,447,424,437,435,402,419,439,435,436,417,440,411,439,445,428,418,423,411.1,445,454.6
