sName,Si29_CPS,Si29_CPS_Int2SE,Na_ppm_m23,Na2O wt%,Ca_ppm_m43,Ca_m43_wt%,Ca_ppm_m44,Ca_m44_wt%,Ti_ppm_m49,Ti wt%,Ga_ppm_m69,Ga_ppm_m71,Rb_ppm_m85,Sr_ppm_m88,Y_ppm_m89,Zr_ppm_m90,Zr_ppm_m91,Nb_ppm_m93,Cs_ppm_m133,Ba_ppm_m137,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m146,Sm_ppm_m147,Eu_ppm_m153,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m163,Ho_ppm_m165,Er_ppm_m166,Tm_ppm_m169,Yb_ppm_m172,Lu_ppm_m175,Hf_ppm_m178,Ta_ppm_m181,Pb_ppm_m208,Th_ppm_m232,U_ppm_m238
UA1 - 8,2360000,190000,30260,4.078716808,3810,0.679992861,3660,0.653221488,361,0.1,18.09,19.2,186.2,5.83,23.5,94.7,94,20.55,5.5,18.8,20.8,45.4,5.17,19.7,4.34,0.2,4,0.61,3.56,0.77,1.96,0.27,2.46,0.429,4.15,1.71,28.5,18.2,5.81
UA1 - 9,2700000,150000,29990,4.042323763,3780,0.674638586,4050,0.722827057,396,0.1,17.56,17.1,179,5.51,25.6,91.7,97.1,19.97,5.62,21.2,20.5,45.1,5.78,19.5,4.2,0.117,5,0.66,4.58,0.77,2.48,0.412,2.91,0.385,4.47,1.75,27.9,19.1,5.79
UA1 - 10,2710000,160000,30440,4.102978838,3530,0.630019632,3660,0.653221488,381,0.1,17.8,17,186.5,4.82,24.7,93.9,97.6,20.29,5.86,19.4,20.19,43.1,5.29,19.8,3.85,0.137,2.8,0.7,4.01,0.81,2.1,0.44,2.51,0.358,3.73,1.79,26.6,18.66,5.86
UA1 - 11,2610000,210000,30980,4.175764928,3760,0.67106907,3680,0.656791005,381,0.1,18.6,17.2,185.6,5.65,23.9,94.8,94.8,20.41,5.77,20.9,20.7,46.3,5.65,21.4,3.88,0.19,3.8,0.72,3.77,0.84,2.57,0.342,2.11,0.415,4.01,1.79,30.1,18.8,6.39
UA1 - 12,2610000,130000,30090,4.055802669,3750,0.669284312,3640,0.649651972,377,0.1,17.8,17.3,190.8,6.02,24.8,99.1,103.7,21.3,5.87,20.2,22.7,46.3,5.56,19.7,4.26,0.173,3.2,0.68,3.35,0.91,2.62,0.35,2.42,0.373,3.81,1.8,27.9,19.7,6.01
UA1 - 13,2690000,140000,30180,4.067933684,3730,0.665714796,3810,0.679992861,383,0.1,17.1,17.3,180.2,5.1,22.9,93.7,95.2,20.29,5.66,19.2,20,44.7,5.36,18,4.12,0.129,3.28,0.58,4.03,0.91,2.38,0.417,2.46,0.433,4.09,1.7,26.3,18.73,6.15
UA1 - 14,2590000,190000,31580,4.256638361,3630,0.647867214,3980,0.71033375,399,0.1,18.9,17.2,185.1,5.65,23.8,97,96.8,20.7,5.76,22.8,21.05,45.4,5.19,18.9,3.57,0.131,3.1,0.73,4.64,0.79,2.7,0.43,2.51,0.463,4.52,1.74,26.1,17.7,5.56
UA1 - 15,2640000,220000,31440,4.237767893,3620,0.646082456,3700,0.660360521,380,0.1,17.47,18.7,183.6,5.4,22.4,93.2,97,19.42,5.24,21.7,19.85,42.9,5.08,19,4.16,0.121,3.52,0.527,4,0.96,2.68,0.39,2.95,0.458,4.06,1.57,28.1,18.17,5.8
UA1 - 16,2570000,130000,27300,3.679741205,4460,0.796002142,4800,0.856683919,1370,0.2,21,19.9,214,5.14,28.3,94,93.4,38,5.61,27.1,20.7,47.1,5.7,22.7,5.4,0.15,4.9,0.77,4.9,1.16,2.6,0.47,3.1,0.44,4.27,1.98,25.5,18.6,5.64
UA1 - 17,2740000,110000,30470,4.10702251,3780,0.674638586,3750,0.669284312,376,0.1,17.05,18.2,180.5,5.34,22.7,93,94.3,20.44,5.52,21,20.5,43.4,5.03,18.4,4.82,0.123,4.05,0.63,3.84,0.84,2.44,0.45,2.51,0.445,4.58,1.82,26.58,19,6.02
UA1 - 18,2780000,130000,29560,3.98436447,3370,0.601463502,3890,0.694270926,386,0.1,18,17,184.7,5.53,23.6,95.3,99,20.42,5.37,21,21,44.8,5.47,17.3,4.38,0.215,4.47,0.5,3.76,0.75,2.66,0.358,2.58,0.402,4.49,1.59,27,19.2,6.09
UA1 - 19,2700000,160000,29810,4.018061733,3330,0.594324469,3620,0.646082456,359,0.1,16.83,18.6,191.2,5.07,23.19,93.1,90.8,20.2,5.54,19.6,19.7,44,4.88,17.7,5,0.225,3.5,0.68,4.81,0.79,2.43,0.415,2.67,0.458,3.97,1.76,27.1,18.3,5.65
UA1 - 20,2790000,130000,28470,3.8374444,3750,0.669284312,3720,0.663930037,374,0.1,16.91,16.7,179.4,5.91,22.2,90.6,91.3,20.1,5.63,20.1,20.4,43.2,5.01,18.4,4.31,0.152,3.72,0.7,4.47,0.77,2.64,0.44,2.53,0.389,4.06,1.72,27.5,18.1,6.09
